"data","ntree","mtry","nodesize","nodedepth","nsplit","splitrule","cindex","brier","auc"
"FD003",100,1,5,5,8,"bs.gradient",0.853497791290283,0.112221007379276,NA
"FD003",300,1,5,5,8,"bs.gradient",0.852211356163025,0.10617688464456,NA
"FD003",500,1,5,5,8,"bs.gradient",0.82256350517273,0.110065534945768,NA
"FD003",700,1,5,5,8,"bs.gradient",0.842818689346313,0.103527589204513,NA
"FD003",900,1,5,5,8,"bs.gradient",0.833663320541382,0.110637182040514,NA
"FD003",1100,1,5,5,8,"bs.gradient",0.849798989295959,0.1029363968122,NA
"FD003",1300,1,5,5,8,"bs.gradient",0.844957363605499,0.107514772191773,NA
"FD003",1500,1,5,5,8,"bs.gradient",0.863379657268524,0.111963903328785,NA
"FD003",1700,1,5,5,8,"bs.gradient",0.835922276973724,0.10576682167964,NA
"FD003",1900,1,5,5,8,"bs.gradient",0.807181870937347,0.107093068585759,NA
"FD003",100,2,5,5,8,"bs.gradient",0.830552685260773,0.104741467108743,NA
"FD003",300,2,5,5,8,"bs.gradient",0.813597130775452,0.101867230093186,NA
"FD003",500,2,5,5,8,"bs.gradient",0.848011207580566,0.102508357979674,NA
"FD003",700,2,5,5,8,"bs.gradient",0.853209376335144,0.106482137266517,NA
"FD003",900,2,5,5,8,"bs.gradient",0.805545210838318,0.107828319821881,NA
"FD003",1100,2,5,5,8,"bs.gradient",0.823092031478882,0.107204381362914,NA
"FD003",1300,2,5,5,8,"bs.gradient",0.842544233798981,0.103946227804928,NA
"FD003",1500,2,5,5,8,"bs.gradient",0.825624752044678,0.10450919484891,NA
"FD003",1700,2,5,5,8,"bs.gradient",0.847714698314667,0.103768808778719,NA
"FD003",1900,2,5,5,8,"bs.gradient",0.826165151596069,0.103687101287777,NA
"FD003",100,3,5,5,8,"bs.gradient",0.818493890762329,0.103949188607041,NA
"FD003",300,3,5,5,8,"bs.gradient",0.831305301189423,0.104946454490206,NA
"FD003",500,3,5,5,8,"bs.gradient",0.862617349624634,0.104126410850794,NA
"FD003",700,3,5,5,8,"bs.gradient",0.837291467189789,0.112022311100831,NA
"FD003",900,3,5,5,8,"bs.gradient",0.846920776367188,0.102133380743934,NA
"FD003",1100,3,5,5,8,"bs.gradient",0.846906435489654,0.0997049574152209,NA
"FD003",1300,3,5,5,8,"bs.gradient",0.842802786827087,0.10407529057096,NA
"FD003",1500,3,5,5,8,"bs.gradient",0.837466251850128,0.104320050708042,NA
"FD003",1700,3,5,5,8,"bs.gradient",0.841825699806213,0.102093693355501,NA
"FD003",1900,3,5,5,8,"bs.gradient",0.823700058460236,0.109500624166698,NA
"FD003",100,4,5,5,8,"bs.gradient",0.841267275810242,0.107205800487632,NA
"FD003",300,4,5,5,8,"bs.gradient",0.838834488391876,0.100359218295948,NA
"FD003",500,4,5,5,8,"bs.gradient",0.833656239509583,0.103704621372957,NA
"FD003",700,4,5,5,8,"bs.gradient",0.811678159236908,0.10246597931788,NA
"FD003",900,4,5,5,8,"bs.gradient",0.81547167301178,0.105583698503647,NA
"FD003",1100,4,5,5,8,"bs.gradient",0.836387312412262,0.101923720519771,NA
"FD003",1300,4,5,5,8,"bs.gradient",0.840874600410461,0.10871599684918,NA
"FD003",1500,4,5,5,8,"bs.gradient",0.839256274700165,0.105651209019222,NA
"FD003",1700,4,5,5,8,"bs.gradient",0.82527848482132,0.113873295222595,NA
"FD003",1900,4,5,5,8,"bs.gradient",0.844725871086121,0.10531095609973,NA
"FD003",100,5,5,5,8,"bs.gradient",0.816607582569122,0.105259203031955,NA
"FD003",300,5,5,5,8,"bs.gradient",0.863306713104248,0.104623042158698,NA
"FD003",500,5,5,5,8,"bs.gradient",0.818367862701416,0.103374817080904,NA
"FD003",700,5,5,5,8,"bs.gradient",0.827015781402588,0.106419920462264,NA
"FD003",900,5,5,5,8,"bs.gradient",0.805356204509735,0.104257574183538,NA
"FD003",1100,5,5,5,8,"bs.gradient",0.851758122444153,0.101777381010076,NA
"FD003",1300,5,5,5,8,"bs.gradient",0.842143738269806,0.103372136654154,NA
"FD003",1500,5,5,5,8,"bs.gradient",0.838978564739227,0.102973296142287,NA
"FD003",1700,5,5,5,8,"bs.gradient",0.825815236568451,0.100378462312978,NA
"FD003",1900,5,5,5,8,"bs.gradient",0.834653067588806,0.103840044762741,NA
"FD003",100,6,5,5,8,"bs.gradient",0.819163191318512,0.11305321187182,NA
"FD003",300,6,5,5,8,"bs.gradient",0.824142718315125,0.106325902896572,NA
"FD003",500,6,5,5,8,"bs.gradient",0.845999217033386,0.106386336960582,NA
"FD003",700,6,5,5,8,"bs.gradient",0.831922399997711,0.108050963907896,NA
"FD003",900,6,5,5,8,"bs.gradient",0.848833584785461,0.099948982556185,NA
"FD003",1100,6,5,5,8,"bs.gradient",0.827923345565796,0.105324324698222,NA
"FD003",1300,6,5,5,8,"bs.gradient",0.840065622329712,0.105171301889644,NA
"FD003",1500,6,5,5,8,"bs.gradient",0.836026561260223,0.111440919990106,NA
"FD003",1700,6,5,5,8,"bs.gradient",0.828852796554565,0.105626066806136,NA
"FD003",1900,6,5,5,8,"bs.gradient",0.844811844825745,0.102531151428548,NA
"FD003",100,7,5,5,8,"bs.gradient",0.8363849401474,0.109576253359285,NA
"FD003",300,7,5,5,8,"bs.gradient",0.827061820030212,0.105178361234728,NA
"FD003",500,7,5,5,8,"bs.gradient",0.840524160861969,0.110486708965356,NA
"FD003",700,7,5,5,8,"bs.gradient",0.835701501369476,0.103753568774462,NA
"FD003",900,7,5,5,8,"bs.gradient",0.839491057395935,0.09873274111803,NA
"FD003",1100,7,5,5,8,"bs.gradient",0.815748620033264,0.105009616930969,NA
"FD003",1300,7,5,5,8,"bs.gradient",0.828568422794342,0.10617892941412,NA
