"data","ntree","mtry","nodesize","nodedepth","nsplit","splitrule","cindex","brier","auc"
"FD003",100,1,55,75,8,"logrank",0.5,0.18576733723685,NA
"FD003",300,1,55,75,8,"logrank",0.5,0.194624621404581,NA
"FD003",500,1,55,75,8,"logrank",0.5,0.195164082227141,NA
"FD003",700,1,55,75,8,"logrank",0.5,0.195809416156424,NA
"FD003",900,1,55,75,8,"logrank",0.5,0.197425851030832,NA
"FD003",1100,1,55,75,8,"logrank",0.5,0.198201499197411,NA
"FD003",1300,1,55,75,8,"logrank",0.5,0.199970388459034,NA
"FD003",1500,1,55,75,8,"logrank",0.5,0.188334458989091,NA
"FD003",1700,1,55,75,8,"logrank",0.5,0.200791639145005,NA
"FD003",1900,1,55,75,8,"logrank",0.5,0.188130114298719,NA
"FD003",100,2,55,75,8,"logrank",0.5,0.194880587728559,NA
"FD003",300,2,55,75,8,"logrank",0.5,0.19431175688972,NA
"FD003",500,2,55,75,8,"logrank",0.5,0.191873772343018,NA
"FD003",700,2,55,75,8,"logrank",0.5,0.192856811446615,NA
"FD003",900,2,55,75,8,"logrank",0.5,0.188353860525123,NA
"FD003",1100,2,55,75,8,"logrank",0.5,0.199452967452827,NA
"FD003",1300,2,55,75,8,"logrank",0.5,0.198887811816238,NA
"FD003",1500,2,55,75,8,"logrank",0.5,0.20242252906701,NA
"FD003",1700,2,55,75,8,"logrank",0.5,0.194344411280737,NA
"FD003",1900,2,55,75,8,"logrank",0.5,0.201288394131795,NA
"FD003",100,3,55,75,8,"logrank",0.5,0.193652229992618,NA
"FD003",300,3,55,75,8,"logrank",0.5,0.191155929307719,NA
"FD003",500,3,55,75,8,"logrank",0.5,0.196366659900668,NA
"FD003",700,3,55,75,8,"logrank",0.5,0.191418605516533,NA
"FD003",900,3,55,75,8,"logrank",0.5,0.192377134093094,NA
"FD003",1100,3,55,75,8,"logrank",0.5,0.19225885286133,NA
"FD003",1300,3,55,75,8,"logrank",0.5,0.195236247801607,NA
"FD003",1500,3,55,75,8,"logrank",0.5,0.187903576242448,NA
"FD003",1700,3,55,75,8,"logrank",0.5,0.188735406429079,NA
"FD003",1900,3,55,75,8,"logrank",0.5,0.200988934155366,NA
"FD003",100,4,55,75,8,"logrank",0.5,0.186447309543152,NA
"FD003",300,4,55,75,8,"logrank",0.5,0.19601221263555,NA
"FD003",500,4,55,75,8,"logrank",0.5,0.189193710259482,NA
"FD003",700,4,55,75,8,"logrank",0.5,0.191987151139055,NA
"FD003",900,4,55,75,8,"logrank",0.5,0.190128636522873,NA
"FD003",1100,4,55,75,8,"logrank",0.5,0.195441603184739,NA
"FD003",1300,4,55,75,8,"logrank",0.5,0.189261537625341,NA
"FD003",1500,4,55,75,8,"logrank",0.5,0.192405492321084,NA
"FD003",1700,4,55,75,8,"logrank",0.5,0.2006041746998,NA
"FD003",1900,4,55,75,8,"logrank",0.5,0.194412058683066,NA
"FD003",100,5,55,75,8,"logrank",0.5,0.200909744873965,NA
"FD003",300,5,55,75,8,"logrank",0.5,0.198816042139189,NA
"FD003",500,5,55,75,8,"logrank",0.5,0.194838844160016,NA
"FD003",700,5,55,75,8,"logrank",0.5,0.184794455357648,NA
"FD003",900,5,55,75,8,"logrank",0.5,0.196703481942723,NA
"FD003",1100,5,55,75,8,"logrank",0.5,0.197472620807312,NA
"FD003",1300,5,55,75,8,"logrank",0.5,0.20179731070574,NA
