"data","ntree","mtry","nodesize","nodedepth","nsplit","splitrule","cindex","brier","auc"
"FD003",100,1,5,5,14,"logrankscore",0.830570352077484,0.13099743234302,NA
"FD003",300,1,5,5,14,"logrankscore",0.834419000148773,0.121777532258616,NA
"FD003",500,1,5,5,14,"logrankscore",0.839490926265717,0.125092976579322,NA
"FD003",700,1,5,5,14,"logrankscore",0.837352311611176,0.119112530972352,NA
"FD003",900,1,5,5,14,"logrankscore",0.803892362117767,0.127150662125307,NA
"FD003",1100,1,5,5,14,"logrankscore",0.840880608558655,0.123804711652761,NA
"FD003",1300,1,5,5,14,"logrankscore",0.831844258308411,0.121247911611095,NA
"FD003",1500,1,5,5,14,"logrankscore",0.82662171125412,0.126583044587669,NA
"FD003",1700,1,5,5,14,"logrankscore",0.828927505016327,0.124372008587873,NA
"FD003",1900,1,5,5,14,"logrankscore",0.829373121261597,0.122412012569648,NA
"FD003",100,2,5,5,14,"logrankscore",0.835649418830872,0.123313792971009,NA
"FD003",300,2,5,5,14,"logrankscore",0.837159490585327,0.125827338793664,NA
"FD003",500,2,5,5,14,"logrankscore",0.844611823558807,0.124356782760253,NA
"FD003",700,2,5,5,14,"logrankscore",0.826045060157776,0.126244913304196,NA
"FD003",900,2,5,5,14,"logrankscore",0.808593559265137,0.126838037046885,NA
"FD003",1100,2,5,5,14,"logrankscore",0.820610094070435,0.124887086136536,NA
"FD003",1300,2,5,5,14,"logrankscore",0.835122752189636,0.125827139175666,NA
"FD003",1500,2,5,5,14,"logrankscore",0.830789339542389,0.126245383296603,NA
"FD003",1700,2,5,5,14,"logrankscore",0.834877634048462,0.124911286537839,NA
"FD003",1900,2,5,5,14,"logrankscore",0.830692708492279,0.121619576222326,NA
"FD003",100,3,5,5,14,"logrankscore",0.832618916034699,0.123370279475717,NA
"FD003",300,3,5,5,14,"logrankscore",0.827642130851746,0.124220776047328,NA
"FD003",500,3,5,5,14,"logrankscore",0.847878229618072,0.119828478967472,NA
"FD003",700,3,5,5,14,"logrankscore",0.81901558637619,0.130272682314747,NA
"FD003",900,3,5,5,14,"logrankscore",0.847564446926117,0.129389996974588,NA
"FD003",1100,3,5,5,14,"logrankscore",0.854681301116943,0.118920727439403,NA
"FD003",1300,3,5,5,14,"logrankscore",0.830374884605408,0.122841629729295,NA
"FD003",1500,3,5,5,14,"logrankscore",0.829759776592255,0.12015441454197,NA
"FD003",1700,3,5,5,14,"logrankscore",0.829728353023529,0.127158330900832,NA
"FD003",1900,3,5,5,14,"logrankscore",0.849958145618439,0.120942272978428,NA
"FD003",100,4,5,5,14,"logrankscore",0.844391429424286,0.130061681695451,NA
"FD003",300,4,5,5,14,"logrankscore",0.829848957061768,0.124265434986699,NA
"FD003",500,4,5,5,14,"logrankscore",0.823720407485962,0.122992520409918,NA
"FD003",700,4,5,5,14,"logrankscore",0.855435872077942,0.122414175546683,NA
"FD003",900,4,5,5,14,"logrankscore",0.828500711917877,0.123698963815455,NA
"FD003",1100,4,5,5,14,"logrankscore",0.831390225887299,0.129079652062149,NA
"FD003",1300,4,5,5,14,"logrankscore",0.820104205608368,0.118230602996122,NA
"FD003",1500,4,5,5,14,"logrankscore",0.826730155944824,0.124204527830545,NA
"FD003",1700,4,5,5,14,"logrankscore",0.824961090087891,0.120991753088485,NA
"FD003",1900,4,5,5,14,"logrankscore",0.833116555213928,0.121931502279041,NA
"FD003",100,5,5,5,14,"logrankscore",0.825767838954926,0.120000267020622,NA
"FD003",300,5,5,5,14,"logrankscore",0.839329779148102,0.120170247654485,NA
"FD003",500,5,5,5,14,"logrankscore",0.842245066165924,0.122112684168874,NA
"FD003",700,5,5,5,14,"logrankscore",0.841975319385529,0.1238783452733,NA
"FD003",900,5,5,5,14,"logrankscore",0.825212061405182,0.126261934537267,NA
"FD003",1100,5,5,5,14,"logrankscore",0.842992770671845,0.124625768813586,NA
"FD003",1300,5,5,5,14,"logrankscore",0.828157472610474,0.121050088660454,NA
"FD003",1500,5,5,5,14,"logrankscore",0.842275369167328,0.120421092061819,NA
"FD003",1700,5,5,5,14,"logrankscore",0.815813565254211,0.12675381929184,NA
"FD003",1900,5,5,5,14,"logrankscore",0.82098091840744,0.126720029736381,NA
"FD003",100,6,5,5,14,"logrankscore",0.832884299755096,0.125906056562065,NA
"FD003",300,6,5,5,14,"logrankscore",0.842737829685211,0.124231825275146,NA
"FD003",500,6,5,5,14,"logrankscore",0.820016610622406,0.121704688311735,NA
"FD003",700,6,5,5,14,"logrankscore",0.847147130966187,0.127444765786707,NA
"FD003",900,6,5,5,14,"logrankscore",0.833288943767548,0.125783704212907,NA
"FD003",1100,6,5,5,14,"logrankscore",0.835683178901672,0.123079134474676,NA
"FD003",1300,6,5,5,14,"logrankscore",0.820733952522278,0.122427705507005,NA
"FD003",1500,6,5,5,14,"logrankscore",0.832680308818817,0.121321438768351,NA
"FD003",1700,6,5,5,14,"logrankscore",0.837540256977081,0.12194946459374,NA
"FD003",1900,6,5,5,14,"logrankscore",0.814844357967377,0.133286022047196,NA
"FD003",100,7,5,5,14,"logrankscore",0.853561961650848,0.120787955431941,NA
"FD003",300,7,5,5,14,"logrankscore",0.85735410451889,0.140932162644131,NA
"FD003",500,7,5,5,14,"logrankscore",0.837421405315399,0.120590307108798,NA
"FD003",700,7,5,5,14,"logrankscore",0.836857628822327,0.128444573275163,NA
"FD003",900,7,5,5,14,"logrankscore",0.825065577030182,0.124716319959464,NA
"FD003",1100,7,5,5,14,"logrankscore",0.82509343624115,0.130245741471424,NA
"FD003",1300,7,5,5,14,"logrankscore",0.817795920372009,0.121790849631448,NA
"FD003",1500,7,5,5,14,"logrankscore",0.831281888484955,0.124084361118861,NA
"FD003",1700,7,5,5,14,"logrankscore",0.838511228561401,0.122679776385614,NA
"FD003",1900,7,5,5,14,"logrankscore",0.830495858192444,0.122687093546514,NA
"FD003",100,8,5,5,14,"logrankscore",0.848332214355469,0.120729931838935,NA
"FD003",300,8,5,5,14,"logrankscore",0.833796954154968,0.12479381688744,NA
"FD003",500,8,5,5,14,"logrankscore",0.834137415885925,0.1287704798584,NA
"FD003",700,8,5,5,14,"logrankscore",0.824553799629211,0.124033623641835,NA
"FD003",900,8,5,5,14,"logrankscore",0.825159978866577,0.125047408329994,NA
"FD003",1100,8,5,5,14,"logrankscore",0.806155705451965,0.131961156059733,NA
"FD003",1300,8,5,5,14,"logrankscore",0.814263617992401,0.124505025415361,NA
"FD003",1500,8,5,5,14,"logrankscore",0.833018124103546,0.130616772895453,NA
"FD003",1700,8,5,5,14,"logrankscore",0.818186926841736,0.126502049676039,NA
"FD003",1900,8,5,5,14,"logrankscore",0.833621525764465,0.128831753449262,NA
"FD003",100,9,5,5,14,"logrankscore",0.844276702404022,0.136984167640708,NA
"FD003",300,9,5,5,14,"logrankscore",0.844058632850647,0.121175589231812,NA
"FD003",500,9,5,5,14,"logrankscore",0.841588532924652,0.120180334228658,NA
"FD003",700,9,5,5,14,"logrankscore",0.805524981021881,0.128089570465434,NA
"FD003",900,9,5,5,14,"logrankscore",0.848789775371552,0.125149823377675,NA
"FD003",1100,9,5,5,14,"logrankscore",0.820777225494385,0.130149733401764,NA
"FD003",1300,9,5,5,14,"logrankscore",0.824648928642273,0.12603223215971,NA
"FD003",1500,9,5,5,14,"logrankscore",0.819692242145538,0.124941646047039,NA
"FD003",1700,9,5,5,14,"logrankscore",0.818190264701843,0.12666727518165,NA
"FD003",1900,9,5,5,14,"logrankscore",0.828664577007294,0.124116284999165,NA
"FD003",100,10,5,5,14,"logrankscore",0.82671070098877,0.130200974027135,NA
"FD003",300,10,5,5,14,"logrankscore",0.839127171039581,0.128014843868092,NA
"FD003",500,10,5,5,14,"logrankscore",0.836224210262299,0.125538999560939,NA
"FD003",700,10,5,5,14,"logrankscore",0.829411911964417,0.128239727598038,NA
"FD003",900,10,5,5,14,"logrankscore",0.852543234825134,0.127386521687675,NA
"FD003",1100,10,5,5,14,"logrankscore",0.82913168668747,0.125294990210088,NA
