"data","ntree","mtry","nodesize","nodedepth","nsplit","splitrule","cindex","brier","auc"
"FD003",100,1,55,75,13,"logrank",0.5,0.19589963311995,NA
"FD003",300,1,55,75,13,"logrank",0.5,0.19513190560549,NA
"FD003",500,1,55,75,13,"logrank",0.5,0.197881917300315,NA
"FD003",700,1,55,75,13,"logrank",0.5,0.196754905277447,NA
"FD003",900,1,55,75,13,"logrank",0.5,0.199995699704293,NA
"FD003",1100,1,55,75,13,"logrank",0.5,0.191695485100719,NA
"FD003",1300,1,55,75,13,"logrank",0.5,0.192603595285664,NA
"FD003",1500,1,55,75,13,"logrank",0.5,0.196234263811722,NA
"FD003",1700,1,55,75,13,"logrank",0.5,0.196119259212918,NA
"FD003",1900,1,55,75,13,"logrank",0.5,0.206836808751752,NA
"FD003",100,2,55,75,13,"logrank",0.5,0.190229043006291,NA
"FD003",300,2,55,75,13,"logrank",0.5,0.195069233799932,NA
"FD003",500,2,55,75,13,"logrank",0.5,0.192454729940496,NA
"FD003",700,2,55,75,13,"logrank",0.5,0.203547219453244,NA
"FD003",900,2,55,75,13,"logrank",0.5,0.191576276035206,NA
"FD003",1100,2,55,75,13,"logrank",0.5,0.202965549755784,NA
"FD003",1300,2,55,75,13,"logrank",0.5,0.19014466363699,NA
"FD003",1500,2,55,75,13,"logrank",0.5,0.195336276747029,NA
"FD003",1700,2,55,75,13,"logrank",0.5,0.200281730365915,NA
"FD003",1900,2,55,75,13,"logrank",0.5,0.191442451023761,NA
"FD003",100,3,55,75,13,"logrank",0.5,0.19457571031631,NA
"FD003",300,3,55,75,13,"logrank",0.5,0.192840077583548,NA
"FD003",500,3,55,75,13,"logrank",0.5,0.186674219047956,NA
"FD003",700,3,55,75,13,"logrank",0.5,0.194604836211342,NA
"FD003",900,3,55,75,13,"logrank",0.5,0.192665294125045,NA
"FD003",1100,3,55,75,13,"logrank",0.5,0.196409936438383,NA
"FD003",1300,3,55,75,13,"logrank",0.5,0.19731897565776,NA
"FD003",1500,3,55,75,13,"logrank",0.5,0.193661167276565,NA
