"data","ntree","mtry","nodesize","nodedepth","nsplit","splitrule","cindex","brier","auc"
"FD003",100,1,5,5,10,"logrank",0.826618075370789,0.109089298040371,NA
"FD003",300,1,5,5,10,"logrank",0.823331224918366,0.109093067476427,NA
"FD003",500,1,5,5,10,"logrank",0.841834497451782,0.113568517635117,NA
"FD003",700,1,5,5,10,"logrank",0.83037474155426,0.104204442554,NA
"FD003",900,1,5,5,10,"logrank",0.836911725997925,0.103304565370417,NA
"FD003",1100,1,5,5,10,"logrank",0.813920021057129,0.107796749656439,NA
"FD003",1300,1,5,5,10,"logrank",0.825703346729279,0.103581167521541,NA
"FD003",1500,1,5,5,10,"logrank",0.842383670806885,0.117281109365165,NA
"FD003",1700,1,5,5,10,"logrank",0.837203848361969,0.108197322888787,NA
"FD003",1900,1,5,5,10,"logrank",0.836243391036987,0.105994018373335,NA
"FD003",100,2,5,5,10,"logrank",0.829386806488037,0.103592455787103,NA
"FD003",300,2,5,5,10,"logrank",0.831967973709106,0.101773021449525,NA
"FD003",500,2,5,5,10,"logrank",0.820319664478302,0.0993937312928608,NA
"FD003",700,2,5,5,10,"logrank",0.844874775409698,0.103145210952988,NA
"FD003",900,2,5,5,10,"logrank",0.823562324047089,0.102634537623974,NA
"FD003",1100,2,5,5,10,"logrank",0.829984927177429,0.110253174268762,NA
"FD003",1300,2,5,5,10,"logrank",0.795796251296997,0.106668612446061,NA
"FD003",1500,2,5,5,10,"logrank",0.816259300708771,0.104616550150978,NA
"FD003",1700,2,5,5,10,"logrank",0.830970871448517,0.104763789152917,NA
"FD003",1900,2,5,5,10,"logrank",0.851427614688873,0.104023399420713,NA
"FD003",100,3,5,5,10,"logrank",0.817992293834686,0.107103938832942,NA
"FD003",300,3,5,5,10,"logrank",0.811418569087982,0.109662149202559,NA
"FD003",500,3,5,5,10,"logrank",0.827714192867279,0.0990155048180914,NA
"FD003",700,3,5,5,10,"logrank",0.841251397132874,0.106219475933536,NA
"FD003",900,3,5,5,10,"logrank",0.826130437850952,0.103332023115608,NA
"FD003",1100,3,5,5,10,"logrank",0.810460579395294,0.111267491680001,NA
"FD003",1300,3,5,5,10,"logrank",0.821809887886047,0.107095229596026,NA
"FD003",1500,3,5,5,10,"logrank",0.825039649009705,0.100310021052196,NA
"FD003",1700,3,5,5,10,"logrank",0.834124290943146,0.102735731622767,NA
"FD003",1900,3,5,5,10,"logrank",0.825877463817596,0.101775928234164,NA
"FD003",100,4,5,5,10,"logrank",0.833794677257538,0.102999898203952,NA
"FD003",300,4,5,5,10,"logrank",0.824683320522308,0.110117637377882,NA
"FD003",500,4,5,5,10,"logrank",0.844794094562531,0.100921228690772,NA
"FD003",700,4,5,5,10,"logrank",0.819764363765717,0.106161118588956,NA
"FD003",900,4,5,5,10,"logrank",0.818694865703583,0.107844744910611,NA
"FD003",1100,4,5,5,10,"logrank",0.833028256893158,0.111457297205881,NA
"FD003",1300,4,5,5,10,"logrank",0.813393926620483,0.11367150481267,NA
"FD003",1500,4,5,5,10,"logrank",0.823260927200317,0.10121671010208,NA
"FD003",1700,4,5,5,10,"logrank",0.818125355243683,0.108849104285229,NA
"FD003",1900,4,5,5,10,"logrank",0.832753348350525,0.104953799527899,NA
"FD003",100,5,5,5,10,"logrank",0.811839401721954,0.107299302232408,NA
"FD003",300,5,5,5,10,"logrank",0.822413384914398,0.1052529956379,NA
"FD003",500,5,5,5,10,"logrank",0.841301071643829,0.106383876977583,NA
"FD003",700,5,5,5,10,"logrank",0.835624957084656,0.111529115381083,NA
"FD003",900,5,5,5,10,"logrank",0.826149654388428,0.104638534399321,NA
"FD003",1100,5,5,5,10,"logrank",0.820947968959808,0.105882188030677,NA
"FD003",1300,5,5,5,10,"logrank",0.839573693275452,0.100449502163531,NA
"FD003",1500,5,5,5,10,"logrank",0.812134993076324,0.116473579233359,NA
"FD003",1700,5,5,5,10,"logrank",0.830219113826752,0.107620157480552,NA
"FD003",1900,5,5,5,10,"logrank",0.822663378715515,0.109272140214849,NA
"FD003",100,6,5,5,10,"logrank",0.815368139743805,0.110497147777711,NA
"FD003",300,6,5,5,10,"logrank",0.824225294589996,0.101107453143632,NA
"FD003",500,6,5,5,10,"logrank",0.817534780502319,0.109340146413234,NA
"FD003",700,6,5,5,10,"logrank",0.807568073272705,0.101706204520501,NA
"FD003",900,6,5,5,10,"logrank",0.832200217247009,0.109931955747431,NA
"FD003",1100,6,5,5,10,"logrank",0.818218076229095,0.105743001012808,NA
"FD003",1300,6,5,5,10,"logrank",0.822126471996307,0.100616602332566,NA
"FD003",1500,6,5,5,10,"logrank",0.82897412776947,0.10429695032619,NA
"FD003",1700,6,5,5,10,"logrank",0.846079039573669,0.0993692917993529,NA
"FD003",1900,6,5,5,10,"logrank",0.80868467092514,0.111742676713377,NA
"FD003",100,7,5,5,10,"logrank",0.824539315700531,0.101592378952461,NA
"FD003",300,7,5,5,10,"logrank",0.838903260231018,0.107069725032543,NA
"FD003",500,7,5,5,10,"logrank",0.812066006660461,0.106251460806144,NA
"FD003",700,7,5,5,10,"logrank",0.803880429267883,0.106641878932055,NA
"FD003",900,7,5,5,10,"logrank",0.825110232830048,0.101026002376597,NA
"FD003",1100,7,5,5,10,"logrank",0.831769490242004,0.102810608650998,NA
"FD003",1300,7,5,5,10,"logrank",0.839245450496674,0.102158287692228,NA
"FD003",1500,7,5,5,10,"logrank",0.83183821439743,0.112511133798009,NA
"FD003",1700,7,5,5,10,"logrank",0.854636478424072,0.0998248374453698,NA
"FD003",1900,7,5,5,10,"logrank",0.839250576496124,0.120778021896776,NA
"FD003",100,8,5,5,10,"logrank",0.816484832763672,0.105359758071589,NA
"FD003",300,8,5,5,10,"logrank",0.819957888126373,0.106402863715634,NA
"FD003",500,8,5,5,10,"logrank",0.823343169689178,0.115740695867895,NA
"FD003",700,8,5,5,10,"logrank",0.815423953533173,0.106492960922058,NA
"FD003",900,8,5,5,10,"logrank",0.842397665977478,0.104931470103101,NA
"FD003",1100,8,5,5,10,"logrank",0.831402409076691,0.105291833460498,NA
"FD003",1300,8,5,5,10,"logrank",0.837871193885803,0.104638870840516,NA
"FD003",1500,8,5,5,10,"logrank",0.823300087451935,0.116768118333707,NA
"FD003",1700,8,5,5,10,"logrank",0.812250447273254,0.109996563303959,NA
"FD003",1900,8,5,5,10,"logrank",0.819936716556549,0.105052228242255,NA
"FD003",100,9,5,5,10,"logrank",0.820058274269104,0.107034416528724,NA
"FD003",300,9,5,5,10,"logrank",0.820574367046356,0.113331239154043,NA
"FD003",500,9,5,5,10,"logrank",0.819581699371338,0.109618354087279,NA
"FD003",700,9,5,5,10,"logrank",0.838449537754059,0.0995068028186069,NA
"FD003",900,9,5,5,10,"logrank",0.827773320674896,0.106576403239288,NA
"FD003",1100,9,5,5,10,"logrank",0.829155147075653,0.106940596053823,NA
"FD003",1300,9,5,5,10,"logrank",0.833644807338715,0.106081613027768,NA
"FD003",1500,9,5,5,10,"logrank",0.82712265253067,0.108778731113269,NA
"FD003",1700,9,5,5,10,"logrank",0.821672379970551,0.103058132017868,NA
"FD003",1900,9,5,5,10,"logrank",0.82331964969635,0.104778332363076,NA
"FD003",100,10,5,5,10,"logrank",0.835041522979736,0.105348491292837,NA
"FD003",300,10,5,5,10,"logrank",0.827179491519928,0.105373750995993,NA
"FD003",500,10,5,5,10,"logrank",0.794266438484192,0.105052579951393,NA
"FD003",700,10,5,5,10,"logrank",0.827803945541382,0.101139602539236,NA
"FD003",900,10,5,5,10,"logrank",0.828213310241699,0.103331680352225,NA
"FD003",1100,10,5,5,10,"logrank",0.850684034824371,0.109217085381314,NA
"FD003",1300,10,5,5,10,"logrank",0.827887773513794,0.108923664195613,NA
"FD003",1500,10,5,5,10,"logrank",0.818537521362305,0.107577523884385,NA
"FD003",1700,10,5,5,10,"logrank",0.822223019599915,0.105379257694143,NA
"FD003",1900,10,5,5,10,"logrank",0.842192876338959,0.101984115426219,NA
"FD003",100,1,15,5,10,"logrank",0.820426821708679,0.115102262554964,NA
"FD003",300,1,15,5,10,"logrank",0.84225982427597,0.116540134309891,NA
"FD003",500,1,15,5,10,"logrank",0.836487090587616,0.1171777377404,NA
