"data","ntree","mtry","nodesize","nodedepth","nsplit","splitrule","cindex","brier","auc"
"FD004",100,1,5,5,15,"logrank",0.763580763339996,0.139343481490686,NA
"FD004",300,1,5,5,15,"logrank",0.774850165843964,0.130364626111324,NA
"FD004",500,1,5,5,15,"logrank",0.778848886489868,0.136194502073727,NA
"FD004",700,1,5,5,15,"logrank",0.768649661540985,0.142770056067109,NA
"FD004",900,1,5,5,15,"logrank",0.762091970443726,0.13838582278678,NA
"FD004",1100,1,5,5,15,"logrank",0.763005983829498,0.138428588539264,NA
"FD004",1300,1,5,5,15,"logrank",0.766614031791687,0.135042533766815,NA
"FD004",1500,1,5,5,15,"logrank",0.768625044822693,0.140293153656689,NA
"FD004",1700,1,5,5,15,"logrank",0.766822707653046,0.137020459983376,NA
"FD004",1900,1,5,5,15,"logrank",0.753305411338806,0.136960438925749,NA
"FD004",100,2,5,5,15,"logrank",0.768064558506012,0.135590471463489,NA
"FD004",300,2,5,5,15,"logrank",0.77065544128418,0.130951787378064,NA
"FD004",500,2,5,5,15,"logrank",0.774975216388702,0.124071712256601,NA
"FD004",700,2,5,5,15,"logrank",0.765514278411865,0.133533234565504,NA
"FD004",900,2,5,5,15,"logrank",0.772716510295868,0.128586187828557,NA
"FD004",1100,2,5,5,15,"logrank",0.774514186382294,0.12580151794936,NA
"FD004",1300,2,5,5,15,"logrank",0.773691296577454,0.131733769852684,NA
"FD004",1500,2,5,5,15,"logrank",0.782807123661041,0.128267559812945,NA
"FD004",1700,2,5,5,15,"logrank",0.780131804943085,0.12935421853983,NA
"FD004",1900,2,5,5,15,"logrank",0.768034827709198,0.130309775192695,NA
"FD004",100,3,5,5,15,"logrank",0.786601758003235,0.123718601344492,NA
"FD004",300,3,5,5,15,"logrank",0.785353326797485,0.123839063353573,NA
"FD004",500,3,5,5,15,"logrank",0.760249376296997,0.13261267670675,NA
"FD004",700,3,5,5,15,"logrank",0.782513999938965,0.129229852620247,NA
"FD004",900,3,5,5,15,"logrank",0.785377299785614,0.126404645464423,NA
"FD004",1100,3,5,5,15,"logrank",0.755578231811523,0.140661622048267,NA
"FD004",1300,3,5,5,15,"logrank",0.774007773399353,0.131593934609074,NA
"FD004",1500,3,5,5,15,"logrank",0.779721820354462,0.134733893688527,NA
"FD004",1700,3,5,5,15,"logrank",0.786136543750763,0.121619966910092,NA
"FD004",1900,3,5,5,15,"logrank",0.778459107875824,0.135778013490162,NA
"FD004",100,4,5,5,15,"logrank",0.780897641181946,0.129603840432119,NA
"FD004",300,4,5,5,15,"logrank",0.773711454868317,0.134603635515599,NA
"FD004",500,4,5,5,15,"logrank",0.777263164520264,0.128350140572246,NA
"FD004",700,4,5,5,15,"logrank",0.785102677345276,0.123727181143675,NA
"FD004",900,4,5,5,15,"logrank",0.77135659456253,0.130533372682918,NA
"FD004",1100,4,5,5,15,"logrank",0.775699770450592,0.131656089307858,NA
"FD004",1300,4,5,5,15,"logrank",0.765729653835297,0.127750454893581,NA
"FD004",1500,4,5,5,15,"logrank",0.768964636325836,0.129181053729321,NA
"FD004",1700,4,5,5,15,"logrank",0.780961227416992,0.125510251868925,NA
"FD004",1900,4,5,5,15,"logrank",0.78193633556366,0.125380390695298,NA
"FD004",100,5,5,5,15,"logrank",0.784339761734009,0.124650127328503,NA
"FD004",300,5,5,5,15,"logrank",0.76544988155365,0.130402835884416,NA
"FD004",500,5,5,5,15,"logrank",0.777949178218842,0.12981605471709,NA
"FD004",700,5,5,5,15,"logrank",0.784278774261475,0.124270131809721,NA
"FD004",900,5,5,5,15,"logrank",0.772200012207031,0.12557886720199,NA
"FD004",1100,5,5,5,15,"logrank",0.771708726882935,0.127211782709039,NA
"FD004",1300,5,5,5,15,"logrank",0.783594810962677,0.125535135087312,NA
"FD004",1500,5,5,5,15,"logrank",0.788508057594299,0.131565496012833,NA
"FD004",1700,5,5,5,15,"logrank",0.775190806388855,0.136435086555759,NA
"FD004",1900,5,5,5,15,"logrank",0.773744177818298,0.125340661237706,NA
"FD004",100,6,5,5,15,"logrank",0.78500155210495,0.122026361867289,NA
"FD004",300,6,5,5,15,"logrank",0.770977210998535,0.127538680387621,NA
"FD004",500,6,5,5,15,"logrank",0.775389647483826,0.13362456623028,NA
"FD004",700,6,5,5,15,"logrank",0.775678670406342,0.124346876801932,NA
"FD004",900,6,5,5,15,"logrank",0.771417534351349,0.130490188706594,NA
"FD004",1100,6,5,5,15,"logrank",0.789294612407684,0.125521277699673,NA
"FD004",1300,6,5,5,15,"logrank",0.767682111263275,0.126154554109324,NA
"FD004",1500,6,5,5,15,"logrank",0.79005891084671,0.126482662975135,NA
"FD004",1700,6,5,5,15,"logrank",0.777674102783203,0.128531034955166,NA
"FD004",1900,6,5,5,15,"logrank",0.780125343799591,0.126296910598026,NA
"FD004",100,7,5,5,15,"logrank",0.774234545230865,0.132663088639005,NA
"FD004",300,7,5,5,15,"logrank",0.78601006269455,0.122168205867312,NA
