"data","ntree","mtry","nodesize","nodedepth","nsplit","splitrule","cindex","brier","auc"
"FD002",100,1,5,5,13,"bs.gradient",0.610864019393921,0.161464995811675,NA
"FD002",300,1,5,5,13,"bs.gradient",0.595508909225464,0.156879084837746,NA
"FD002",500,1,5,5,13,"bs.gradient",0.619555902481079,0.158658134804002,NA
"FD002",700,1,5,5,13,"bs.gradient",0.634571516513824,0.157010537589121,NA
"FD002",900,1,5,5,13,"bs.gradient",0.62911069393158,0.157762150976374,NA
"FD002",1100,1,5,5,13,"bs.gradient",0.636708414554596,0.15676722594846,NA
"FD002",1300,1,5,5,13,"bs.gradient",0.620111095905304,0.164205926464601,NA
"FD002",1500,1,5,5,13,"bs.gradient",0.593678629398346,0.160811599121711,NA
"FD002",1700,1,5,5,13,"bs.gradient",0.6016521692276,0.158377599952986,NA
"FD002",1900,1,5,5,13,"bs.gradient",0.597005116939545,0.161709787589216,NA
"FD002",100,2,5,5,13,"bs.gradient",0.613132345676422,0.156490919705483,NA
"FD002",300,2,5,5,13,"bs.gradient",0.607930660247803,0.160963824450731,NA
"FD002",500,2,5,5,13,"bs.gradient",0.597550225257873,0.157326886789446,NA
"FD002",700,2,5,5,13,"bs.gradient",0.616234493255615,0.154599727564798,NA
"FD002",900,2,5,5,13,"bs.gradient",0.627859699726105,0.155461751424321,NA
"FD002",1100,2,5,5,13,"bs.gradient",0.651041209697723,0.154614935549489,NA
"FD002",1300,2,5,5,13,"bs.gradient",0.641431558132172,0.15719117708865,NA
"FD002",1500,2,5,5,13,"bs.gradient",0.627875435352325,0.156735554654583,NA
"FD002",1700,2,5,5,13,"bs.gradient",0.613607656955719,0.154303597491254,NA
"FD002",1900,2,5,5,13,"bs.gradient",0.609482657909393,0.159614072442853,NA
"FD002",100,3,5,5,13,"bs.gradient",0.609136736392975,0.155408971765418,NA
"FD002",300,3,5,5,13,"bs.gradient",0.626622486114502,0.149065409145905,NA
"FD002",500,3,5,5,13,"bs.gradient",0.637991869449616,0.151963030543809,NA
"FD002",700,3,5,5,13,"bs.gradient",0.638540816307068,0.148972249433378,NA
"FD002",900,3,5,5,13,"bs.gradient",0.641523277759552,0.15188907760356,NA
"FD002",1100,3,5,5,13,"bs.gradient",0.640244948863983,0.157103441876842,NA
"FD002",1300,3,5,5,13,"bs.gradient",0.625628340244293,0.153144422964728,NA
"FD002",1500,3,5,5,13,"bs.gradient",0.64316588640213,0.15108609721001,NA
"FD002",1700,3,5,5,13,"bs.gradient",0.617893254756927,0.155451334276291,NA
"FD002",1900,3,5,5,13,"bs.gradient",0.601522815227509,0.154383141815767,NA
"FD002",100,4,5,5,13,"bs.gradient",0.628167521953583,0.150120509627772,NA
"FD002",300,4,5,5,13,"bs.gradient",0.63512716293335,0.148801117912247,NA
"FD002",500,4,5,5,13,"bs.gradient",0.619596803188324,0.150593078250486,NA
"FD002",700,4,5,5,13,"bs.gradient",0.628948879241943,0.147853498106926,NA
"FD002",900,4,5,5,13,"bs.gradient",0.642583215236664,0.149972998556291,NA
"FD002",1100,4,5,5,13,"bs.gradient",0.643210768699646,0.1496978853803,NA
"FD002",1300,4,5,5,13,"bs.gradient",0.64375022649765,0.150745636929822,NA
"FD002",1500,4,5,5,13,"bs.gradient",0.635921502113342,0.151207347137774,NA
"FD002",1700,4,5,5,13,"bs.gradient",0.602235209941864,0.155970672208365,NA
"FD002",1900,4,5,5,13,"bs.gradient",0.618089032173157,0.15017958861234,NA
"FD002",100,5,5,5,13,"bs.gradient",0.625654935836792,0.147001102889611,NA
"FD002",300,5,5,5,13,"bs.gradient",0.644899952411652,0.147454074239948,NA
"FD002",500,5,5,5,13,"bs.gradient",0.639926362037659,0.14959868815566,NA
"FD002",700,5,5,5,13,"bs.gradient",0.62475016117096,0.148085094246542,NA
"FD002",900,5,5,5,13,"bs.gradient",0.600756204128265,0.147715896201253,NA
"FD002",1100,5,5,5,13,"bs.gradient",0.640410792827606,0.149663204819278,NA
"FD002",1300,5,5,5,13,"bs.gradient",0.642697131633759,0.147821319263906,NA
"FD002",1500,5,5,5,13,"bs.gradient",0.628823804855347,0.151838230096334,NA
"FD002",1700,5,5,5,13,"bs.gradient",0.640214455127716,0.146826854784175,NA
"FD002",1900,5,5,5,13,"bs.gradient",0.642996680736542,0.15031016897393,NA
"FD002",100,6,5,5,13,"bs.gradient",0.653145599365234,0.143949952224315,NA
"FD002",300,6,5,5,13,"bs.gradient",0.612182009220123,0.150066879849063,NA
"FD002",500,6,5,5,13,"bs.gradient",0.632798624038696,0.152122652614302,NA
"FD002",700,6,5,5,13,"bs.gradient",0.634953713417053,0.152574292426677,NA
"FD002",900,6,5,5,13,"bs.gradient",0.637795555591583,0.146904457650561,NA
"FD002",1100,6,5,5,13,"bs.gradient",0.63705313205719,0.152462448568489,NA
"FD002",1300,6,5,5,13,"bs.gradient",0.645639061927795,0.147862975172383,NA
"FD002",1500,6,5,5,13,"bs.gradient",0.613682496547699,0.150094685981642,NA
"FD002",1700,6,5,5,13,"bs.gradient",0.623791265487671,0.150895257777044,NA
"FD002",1900,6,5,5,13,"bs.gradient",0.627751624584198,0.153781955811989,NA
"FD002",100,7,5,5,13,"bs.gradient",0.602677094936371,0.152084195495364,NA
"FD002",300,7,5,5,13,"bs.gradient",0.656012892723083,0.1454981311692,NA
"FD002",500,7,5,5,13,"bs.gradient",0.610945796966553,0.14993475675746,NA
"FD002",700,7,5,5,13,"bs.gradient",0.625547647476196,0.147720739892682,NA
"FD002",900,7,5,5,13,"bs.gradient",0.631347715854645,0.148073091821411,NA
"FD002",1100,7,5,5,13,"bs.gradient",0.631871223449707,0.150921235081724,NA
"FD002",1300,7,5,5,13,"bs.gradient",0.639861261844635,0.146630874862607,NA
"FD002",1500,7,5,5,13,"bs.gradient",0.641620862483978,0.145446976410626,NA
"FD002",1700,7,5,5,13,"bs.gradient",0.633281934261322,0.149592275264871,NA
"FD002",1900,7,5,5,13,"bs.gradient",0.640691649913788,0.147348261859191,NA
"FD002",100,8,5,5,13,"bs.gradient",0.632161283493042,0.149248628425016,NA
"FD002",300,8,5,5,13,"bs.gradient",0.642991590499878,0.145702894285278,NA
"FD002",500,8,5,5,13,"bs.gradient",0.632077383995056,0.151117239640402,NA
"FD002",700,8,5,5,13,"bs.gradient",0.624578726291656,0.151134489138915,NA
"FD002",900,8,5,5,13,"bs.gradient",0.612902390956879,0.151571136304468,NA
"FD002",1100,8,5,5,13,"bs.gradient",0.62943434715271,0.149181258585926,NA
"FD002",1300,8,5,5,13,"bs.gradient",0.632805705070496,0.148922380984709,NA
"FD002",1500,8,5,5,13,"bs.gradient",0.621266794204712,0.151195019034854,NA
"FD002",1700,8,5,5,13,"bs.gradient",0.592226696014404,0.148473285493596,NA
"FD002",1900,8,5,5,13,"bs.gradient",0.628827965259552,0.147101137979474,NA
"FD002",100,9,5,5,13,"bs.gradient",0.606911194324493,0.14496170410504,NA
"FD002",300,9,5,5,13,"bs.gradient",0.626923382282257,0.148008881335357,NA
"FD002",500,9,5,5,13,"bs.gradient",0.617864573001862,0.14929924539243,NA
"FD002",700,9,5,5,13,"bs.gradient",0.648557984828949,0.149041233830953,NA
"FD002",900,9,5,5,13,"bs.gradient",0.623654663562775,0.150581054169625,NA
"FD002",1100,9,5,5,13,"bs.gradient",0.617365348339081,0.149911000221948,NA
"FD002",1300,9,5,5,13,"bs.gradient",0.623496556282043,0.153057278493973,NA
"FD002",1500,9,5,5,13,"bs.gradient",0.628256285190582,0.150810281793624,NA
"FD002",1700,9,5,5,13,"bs.gradient",0.627452075481415,0.150101076966933,NA
"FD002",1900,9,5,5,13,"bs.gradient",0.642506468296051,0.147284482973666,NA
"FD002",100,10,5,5,13,"bs.gradient",0.623702466487885,0.152638013753514,NA
"FD002",300,10,5,5,13,"bs.gradient",0.641618609428406,0.146314021475961,NA
"FD002",500,10,5,5,13,"bs.gradient",0.632188975811005,0.1466969948406,NA
"FD002",700,10,5,5,13,"bs.gradient",0.631539189815521,0.149720107582364,NA
"FD002",900,10,5,5,13,"bs.gradient",0.607521152496338,0.146150182555204,NA
"FD002",1100,10,5,5,13,"bs.gradient",0.629229271411896,0.147094826674533,NA
"FD002",1300,10,5,5,13,"bs.gradient",0.627857351303101,0.15091771173416,NA
"FD002",1500,10,5,5,13,"bs.gradient",0.628141129016876,0.147040132336317,NA
"FD002",1700,10,5,5,13,"bs.gradient",0.628281354904175,0.148318252582905,NA
"FD002",1900,10,5,5,13,"bs.gradient",0.635941731929779,0.143642851968703,NA
"FD002",100,1,15,5,13,"bs.gradient",0.596549081802368,0.160416495107245,NA
"FD002",300,1,15,5,13,"bs.gradient",0.60479234457016,0.162488617376365,NA
"FD002",500,1,15,5,13,"bs.gradient",0.604541385173798,0.169661899171955,NA
"FD002",700,1,15,5,13,"bs.gradient",0.589017522335052,0.169176749881288,NA
"FD002",900,1,15,5,13,"bs.gradient",0.595893824100494,0.160364928848148,NA
"FD002",1100,1,15,5,13,"bs.gradient",0.609719526767731,0.159487570451295,NA
"FD002",1300,1,15,5,13,"bs.gradient",0.609591436386108,0.164362397944343,NA
"FD002",1500,1,15,5,13,"bs.gradient",0.600179100036621,0.16256631797851,NA
"FD002",1700,1,15,5,13,"bs.gradient",0.601714009046555,0.165412309178302,NA
"FD002",1900,1,15,5,13,"bs.gradient",0.595966041088104,0.165285963856373,NA
"FD002",100,2,15,5,13,"bs.gradient",0.5683090031147,0.166002916505841,NA
"FD002",300,2,15,5,13,"bs.gradient",0.58065367937088,0.165413882426609,NA
"FD002",500,2,15,5,13,"bs.gradient",0.600978469848633,0.159728776880586,NA
"FD002",700,2,15,5,13,"bs.gradient",0.604913520812988,0.162072352851725,NA
"FD002",900,2,15,5,13,"bs.gradient",0.599343240261078,0.160554906499988,NA
